,Neighborhood,Population,Density,Average income,Percentage,Language,Second language population,Latitude,Longitude
0,Alexandra Park,4355,13609,19687,17.9,Cantonese,779,43.71627,-79.40555
1,Allenby,2513,4333,245592,1.4,Russian,35,43.71275,-79.54746
2,Bay Street Corridor,4787,43518,40598,9.6,Mandarin,459,43.65777,-79.38619
3,Bedford Park,13749,6057,80827,0.7,Greek,96,43.73138,-79.42116
4,Bloor West Village,5175,6993,55578,3.6,Ukrainian,186,43.65936,-79.48543000000001
5,Bracondale Hill,5343,8618,41605,4.8,Greek,256,43.676,-79.42803
6,Brockton,9039,8217,27260,19.9,Portuguese,1798,43.66055,-79.40531
7,Cabbagetown,11120,7943,50398,1.6,Chinese,177,43.667629999999996,-79.36606
8,Carleton Village,6544,8843,23301,17.0,Portuguese,1112,43.672,-79.457
9,Casa Loma,3597,5369,82203,1.8,Korean,64,43.67,-79.41
10,Chaplin Estates,4906,5275,81288,1.2,French,58,43.7,-79.4
11,Christie Pits,5124,8006,30556,11.9,Portuguese,609,43.664722,-79.420833
12,Church and Wellesley,13397,24358,37653,1.8,Spanish,241,43.665694,-79.38095600000001
13,Corktown,4484,6693,54681,2.1,Spanish,94,43.655518,-79.359712
14,Davenport,8781,8870,28335,17.1,Portuguese,1501,43.673,-79.428
15,Davisville,23727,7556,55735,1.5,Persian,355,43.701,-79.389
16,Deer Park,15165,10387,80704,1.1,Russian,166,43.688056,-79.394028
17,Discovery District,7262,6998,41998,6.5,Chinese,472,43.658,-79.388
18,Distillery District/West Don Lands,6378,4795,40617,2.5,French,159,43.655,-79.35300000000001
19,Dovercourt Park,8497,9767,28311,13.1,Portuguese,1113,43.665,-79.432
20,Dufferin Grove,9875,9975,27961,15.2,Portuguese,1501,43.657,-79.428
21,Earlscourt,17240,7696,26672,18.9,Portuguese,3258,43.678000000000004,-79.449
22,East Danforth,21440,8576,33847,4.2,Cantonese,900,43.688056,-79.30194399999999
23,Fashion District,4642,4737,63282,1.1,Portuguese,51,43.645,-79.398
24,Financial District,548,1166,63952,1.8,Japanese,9,43.647935,-79.381752
25,Forest Hill,24056,5530,101631,2.4,Russian,577,43.7,-79.416667
26,Fort York/Liberty Village,3821,1794,46086,1.7,Hindi,64,43.637,-79.422
27,Garden District,8240,15846,37614,3.0,Chinese,247,43.6585,-79.3758
28,Grange Park,9007,10793,35277,14.8,Chinese,1333,43.653,-79.393
29,Harbord Village,5906,9228,45792,4.1,Portuguese,242,43.661,-79.406
30,Harbourfront / CityPlace,14368,9228,69232,2.4,Chinese,344,43.638000000000005,-79.385
31,High Park North,22746,10434,46437,3.0,Polish,682,43.656000000000006,-79.475
32,Junction Triangle,6666,9258,28067,13.0,Portuguese,866,43.659,-79.446
33,Kensington Market,3740,10389,23335,14.3,Cantonese,534,43.654771999999994,-79.400678
34,Lawrence Park,6653,1828,214110,0.8,French,53,43.722,-79.388
35,Leslieville,23567,8761,30886,9.4,Cantonese,2215,43.661927,-79.332039
36,Little Italy,7917,9774,31231,17.4,Portuguese,1377,43.655,-79.413
37,Little Portugal,5013,10231,29224,23.8,Portuguese,1193,43.65,-79.435556
38,Lytton Park,6494,5073,127356,0.9,Serbian,58,43.716,-79.406
39,Moore Park,4474,3959,154825,1.1,French,49,43.691,-79.377
40,Niagara,6524,11862,44611,4.0,Portuguese,260,43.643,-79.408
41,Parkdale,28367,13974,26314,2.9,Polish,822,43.640454,-79.43673100000001
42,Playter Estates,3968,7936,44557,1.8,Chinese,71,43.678056,-79.355556
43,Port Lands,571,94,36243,3.5,Mandarin,19,43.648056,-79.33833299999999
44,Regal Heights,2719,7155,36652,5.5,Spanish,149,43.6762,-79.4244
45,Regent Park/Trefann Court,10387,16230,19521,10.5,Bengali,1090,43.656548,-79.36201
46,Riverdale,31007,7771,40139,6.7,Cantonese,2077,43.66775,-79.34961
47,Roncesvalles,15996,8079,46820,4.4,Polish,703,43.646231,-79.449048
48,Rosedale,7672,2821,213941,1.0,Chinese,76,43.646231,-79.449048
49,Seaton Village,5259,8482,41506,5.0,Portuguese,262,43.668,-79.416
50,South Hill,6218,4935,120453,1.0,French,62,43.681000000000004,-79.404
51,St. James Town,14666,63765,22341,8.1,Filipino,1187,43.669167,-79.372778
52,Summerhill,5100,7846,88937,1.1,Chinese,56,43.683,-79.39
53,Swansea,11133,2961,58681,3.0,Polish,333,43.643889,-79.477778
54,The Annex,15602,10614,63636,1.3,Spanish,202,43.67,-79.404
55,The Beaches,20416,5719,67536,0.7,Cantonese,142,43.667266,-79.297128
56,The Danforth,7849,9022,44979,7.4,Greek,580,43.678472,-79.347222
57,The Junction,11391,4827,34906,4.1,Portuguese,467,43.665556,-79.464444
58,Trinity–Bellwoods,8687,9442,31106,13.6,Portuguese,1181,43.646667,-79.408333
59,Upper Beaches,19830,6791,44346,0.7,Cantonese,138,43.646667,-79.408333
60,Wallace Emerson,10338,11748,25029,19.2,Portuguese,1984,43.663000000000004,-79.441
61,Wychwood,4182,6150,53613,2.7,Portuguese,112,43.6762,-79.4244
62,Yorkville,6045,10795,105239,1.9,French,114,43.670278,-79.391111
