,Neighborhood,Language,Population,Second language population,Total Restaurants,Number of Competitors,Latitude,Longitude
0,Alexandra Park,Cantonese,4355,779,8,1,43.71627,-79.40555
1,Allenby,Russian,2513,35,4,0,43.71275,-79.54746
2,Bay Street Corridor,Mandarin,4787,459,23,2,43.65777,-79.38619
3,Bedford Park,Greek,13749,96,18,1,43.73138,-79.42116
4,Bloor West Village,Ukrainian,5175,186,4,0,43.65936,-79.48543000000001
5,Bracondale Hill,Greek,5343,256,28,0,43.676,-79.42803
6,Brockton,Portuguese,9039,1798,32,0,43.66055,-79.40531
7,Cabbagetown,Chinese,11120,177,11,0,43.667629999999996,-79.36606
8,Carleton Village,Portuguese,6544,1112,18,2,43.672,-79.457
9,Casa Loma,Korean,3597,64,40,7,43.67,-79.41
10,Chaplin Estates,French,4906,58,33,1,43.7,-79.4
11,Christie Pits,Portuguese,5124,609,37,0,43.664722,-79.420833
12,Church and Wellesley,Spanish,13397,241,30,0,43.665694,-79.38095600000001
13,Corktown,Spanish,4484,94,21,1,43.655518,-79.359712
14,Davenport,Portuguese,8781,1501,19,1,43.673,-79.428
15,Davisville,Persian,23727,355,35,0,43.701,-79.389
16,Deer Park,Russian,15165,166,17,0,43.688056,-79.394028
17,Discovery District,Chinese,7262,472,24,3,43.658,-79.388
18,Distillery District-West Don Lands,French,6378,159,15,1,43.655,-79.35300000000001
19,Dovercourt Park,Portuguese,8497,1113,20,0,43.665,-79.432
20,Dufferin Grove,Portuguese,9875,1501,28,1,43.657,-79.428
21,Earlscourt,Portuguese,17240,3258,16,2,43.678000000000004,-79.449
22,East Danforth,Cantonese,21440,900,11,2,43.688056,-79.30194399999999
23,Fashion District,Portuguese,4642,51,33,0,43.645,-79.398
24,Financial District,Japanese,548,9,23,3,43.647935,-79.381752
25,Forest Hill,Russian,24056,577,13,0,43.7,-79.416667
26,Fort York-Liberty Village,Hindi,3821,64,24,0,43.637,-79.422
27,Garden District,Chinese,8240,247,26,0,43.6585,-79.3758
28,Grange Park,Chinese,9007,1333,25,1,43.653,-79.393
29,Harbord Village,Portuguese,5906,242,32,0,43.661,-79.406
30,Harbourfront - CityPlace,Chinese,14368,344,12,1,43.638000000000005,-79.385
31,High Park North,Polish,22746,682,18,0,43.656000000000006,-79.475
32,Junction Triangle,Portuguese,6666,866,25,2,43.659,-79.446
33,Kensington Market,Cantonese,3740,534,30,4,43.654771999999994,-79.400678
34,Leslieville,Cantonese,23567,2215,27,3,43.661927,-79.332039
35,Little Italy,Portuguese,7917,1377,30,1,43.655,-79.413
36,Little Portugal,Portuguese,5013,1193,23,1,43.65,-79.435556
37,Lytton Park,Serbian,6494,58,8,0,43.716,-79.406
38,Niagara,Portuguese,6524,260,25,0,43.643,-79.408
39,Parkdale,Polish,28367,822,27,0,43.640454,-79.43673100000001
40,Playter Estates,Chinese,3968,71,30,0,43.678056,-79.355556
41,Port Lands,Mandarin,571,19,1,0,43.648056,-79.33833299999999
42,Regal Heights,Spanish,2719,149,30,0,43.6762,-79.4244
43,Regent Park-Trefann Court,Bengali,10387,1090,22,0,43.656548,-79.36201
44,Riverdale,Cantonese,31007,2077,28,6,43.66775,-79.34961
45,Roncesvalles,Polish,15996,703,23,0,43.646231,-79.449048
46,Rosedale,Chinese,7672,76,23,0,43.646231,-79.449048
47,Seaton Village,Portuguese,5259,262,36,0,43.668,-79.416
48,South Hill,French,6218,62,16,2,43.681000000000004,-79.404
49,St. James Town,Filipino,14666,1187,26,1,43.669167,-79.372778
50,Summerhill,Chinese,5100,56,27,0,43.683,-79.39
51,Swansea,Polish,11133,333,15,0,43.643889,-79.477778
52,The Annex,Spanish,15602,202,35,0,43.67,-79.404
53,The Beaches,Cantonese,20416,142,12,1,43.667266,-79.297128
54,The Danforth,Greek,7849,580,29,12,43.678472,-79.347222
55,The Junction,Portuguese,11391,467,20,0,43.665556,-79.464444
56,Trinity–Bellwoods,Portuguese,8687,1181,25,0,43.646667,-79.408333
57,Upper Beaches,Cantonese,19830,138,25,0,43.646667,-79.408333
58,Wallace Emerson,Portuguese,10338,1984,17,2,43.663000000000004,-79.441
59,Wychwood,Portuguese,4182,112,30,1,43.6762,-79.4244
60,Yorkville,French,6045,114,36,2,43.670278,-79.391111
