,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Alexandra Park,43.71627,-79.40555,Sheridan Nurseries,43.71900479624233,-79.40050025384096,Flower Shop
1,Alexandra Park,43.71627,-79.40555,Himalayan Java,43.713486181375714,-79.39981137215881,Café
2,Alexandra Park,43.71627,-79.40555,De Mello Palheta Coffee Roasters,43.71179137179029,-79.39940300399607,Coffee Shop
3,Alexandra Park,43.71627,-79.40555,Uncle Betty's Diner,43.7144524368588,-79.40009057656115,Diner
4,Alexandra Park,43.71627,-79.40555,Douce France,43.7115544338723,-79.3993940377493,Bakery
5,Alexandra Park,43.71627,-79.40555,Starbucks,43.71120035387884,-79.3991818675651,Coffee Shop
6,Alexandra Park,43.71627,-79.40555,Alexander Muir Memorial Gardens,43.72131498723094,-79.40082168480554,Garden
7,Alexandra Park,43.71627,-79.40555,Barreworks,43.71407030751952,-79.40010911522093,Yoga Studio
8,Alexandra Park,43.71627,-79.40555,Cibo Wine Bar,43.711463877485286,-79.39957014527212,Italian Restaurant
9,Alexandra Park,43.71627,-79.40555,La Vecchia Ristorante,43.710166725920814,-79.39908639249543,Italian Restaurant
10,Alexandra Park,43.71627,-79.40555,DAVIDsTEA,43.70976458884342,-79.39894101501558,Tea Room
11,Alexandra Park,43.71627,-79.40555,Grazie Ristorante,43.70932882869532,-79.39882260781977,Italian Restaurant
12,Alexandra Park,43.71627,-79.40555,lululemon,43.71572,-79.39996,Sporting Goods Shop
13,Alexandra Park,43.71627,-79.40555,Eglinton Park,43.707984144557415,-79.40454877902582,Baseball Field
14,Alexandra Park,43.71627,-79.40555,Classico Louie's Pizzeria,43.71331640391565,-79.39968361029854,Pizza Place
15,Alexandra Park,43.71627,-79.40555,Sign of the Skier,43.71939547570994,-79.40123398131982,Sporting Goods Shop
16,Alexandra Park,43.71627,-79.40555,Civello Salon,43.71511093497453,-79.40030409940266,Salon / Barbershop
17,Alexandra Park,43.71627,-79.40555,La Bohème,43.71167599695102,-79.39935123848237,Café
18,Alexandra Park,43.71627,-79.40555,Nailsense,43.71746731916717,-79.40065341489495,Spa
19,Alexandra Park,43.71627,-79.40555,Starbucks,43.71545573067855,-79.40030317600592,Coffee Shop
20,Alexandra Park,43.71627,-79.40555,Tio's Urban Mexican,43.71463,-79.4,Mexican Restaurant
21,Alexandra Park,43.71627,-79.40555,Sushi Shop,43.71360852879086,-79.39984396235917,Restaurant
22,Alexandra Park,43.71627,-79.40555,Good Bite Restaurant,43.71144896644362,-79.39934257487279,Diner
23,Alexandra Park,43.71627,-79.40555,North 44,43.713039725451154,-79.39957789288633,Steakhouse
24,Alexandra Park,43.71627,-79.40555,Toronto Sporting Life 10k,43.7118316505242,-79.39945147259415,Track
25,Alexandra Park,43.71627,-79.40555,Sip Wine Bar,43.709706559620166,-79.39855751580205,Wine Bar
26,Alexandra Park,43.71627,-79.40555,Sport Chek Yonge Street,43.71286036122824,-79.39961123505314,Sporting Goods Shop
27,Alexandra Park,43.71627,-79.40555,Pascale Gourmet Deli,43.70999,-79.399093,Deli / Bodega
28,Alexandra Park,43.71627,-79.40555,Noah's Natural Foods,43.70998028558085,-79.39903038319292,Food & Drink Shop
29,Alexandra Park,43.71627,-79.40555,Best Buy,43.71000147945975,-79.39952357682165,Electronics Store
30,Alexandra Park,43.71627,-79.40555,Banh Mi Boys,43.709216793291695,-79.39877705894672,Fast Food Restaurant
31,Alexandra Park,43.71627,-79.40555,South St. Burger,43.709654865131874,-79.39883266055938,Burger Joint
32,Alexandra Park,43.71627,-79.40555,Sushi Rock Café,43.709088833260985,-79.39864107618006,Sushi Restaurant
33,Alexandra Park,43.71627,-79.40555,Mai Thai Restaurant,43.70877913493312,-79.39872010094855,Thai Restaurant
34,Alexandra Park,43.71627,-79.40555,Budget Car & Truck Rental,43.718479,-79.401165,Rental Car Location
35,Alexandra Park,43.71627,-79.40555,St. Clements - Yonge Parkette,43.71206179547874,-79.40425523454469,Park
36,Alexandra Park,43.71627,-79.40555,Glengrove Suites,43.71994664574377,-79.40079419830145,Hotel
37,Alexandra Park,43.71627,-79.40555,Otter Creek Skating Park,43.72102020325752,-79.40982802200654,Skating Rink
38,Alexandra Park,43.71627,-79.40555,NTCC Swimming Pool,43.710552812924895,-79.40578561334489,Gym Pool
39,Alexandra Park,43.71627,-79.40555,Lawrence & Yonge,43.72433878859663,-79.40206956347814,Intersection
40,Allenby,43.71275,-79.54746,Chubby's Fish N' Chips,43.7151901026172,-79.55534628122035,Fish & Chips Shop
41,Allenby,43.71275,-79.54746,Lowe's Home Improvement,43.7087841,-79.5481391,Hardware Store
42,Allenby,43.71275,-79.54746,Faley Restaurant,43.713816758640164,-79.55867566515604,Asian Restaurant
43,Allenby,43.71275,-79.54746,Popeyes Louisiana Kitchen,43.71593856809128,-79.55462802399225,Fried Chicken Joint
44,Allenby,43.71275,-79.54746,Mcdonald's in Walmart,43.71425035315577,-79.55328855960575,Fast Food Restaurant
45,Allenby,43.71275,-79.54746,Subway,43.71614960673307,-79.55466673728294,Sandwich Place
46,Allenby,43.71275,-79.54746,Afghan Kebobs Cuisine,43.71545056271825,-79.5555228740669,Food
47,Allenby,43.71275,-79.54746,ITM Academies,43.7136301,-79.5442754,Tennis Stadium
